ВЕДОМОСТЬ КООРДИНАТ ПУНКТОВ
================================================================================

№     Наименование         X (м)           Y (м)           Статус плана   
42    GSIP_83_11           0.0000          0.0000          adjusted       
43    GSIP_573_13          0.0000          0.0000          adjusted       
44    GSIP_83_16           0.0000          0.0000          adjusted       
45    GSIP_573_20          0.0000          0.0000          adjusted       
46    GSIP_573_21          0.0000          0.0000          adjusted       
47    GSIP_573_26          0.0000          0.0000          adjusted       
48    GSIP_83_29           0.0000          0.0000          adjusted       
49    GSIP_83_31           0.0000          0.0000          adjusted       
50    GSIP_83_32           0.0000          0.0000          adjusted       
51    GSIP_83_33           0.0000          0.0000          adjusted       
52    GSIP_573_34          0.0000          0.0000          adjusted       
53    GSIP_573_35          0.0000          0.0000          adjusted       
54    GSIP_573_36          0.0000          0.0000          adjusted       
55    GSIP_573_37          0.0000          0.0000          adjusted       
56    GSIP_573_38          0.0000          0.0000          adjusted       
57    GSIP_573_39          0.0000          0.0000          adjusted       
58    GSIP_573_40          0.0000          0.0000          adjusted       
59    GSIP_573_41          0.0000          0.0000          adjusted       
60    GSIP_573_42          0.0000          0.0000          adjusted       
61    GSIP_573_43          0.0000          0.0000          adjusted       
62    GSIP_573_44          0.0000          0.0000          adjusted       
63    GSIP_573_45          0.0000          0.0000          adjusted       
64    GSIP_573_46          0.0000          0.0000          adjusted       
65    GSIP_573_47          0.0000          0.0000          adjusted       
66    GSIP_573_48          0.0000          0.0000          adjusted       
67    GSIP_83_49           0.0000          0.0000          adjusted       
68    GSIP_573_50          0.0000          0.0000          adjusted       
69    GSIP_573_51          0.0000          0.0000          adjusted       
70    GSIP_83_52           0.0000          0.0000          adjusted       
71    GSIP_573_53          0.0000          0.0000          adjusted       
72    GSIP_573_54          0.0000          0.0000          adjusted       
73    GSIP_573_55          0.0000          0.0000          adjusted       
74    GSIP_573_56          0.0000          0.0000          adjusted       
75    GSIP_573_57          0.0000          0.0000          adjusted       
76    GSIP_83_58           0.0000          0.0000          adjusted       
77    GSIP_573_59          0.0000          0.0000          adjusted       
78    GSIP_573_60          0.0000          0.0000          adjusted       
79    GSIP_573_61          0.0000          0.0000          adjusted       
80    GSIP_83_62           0.0000          0.0000          adjusted       
81    GSIP_83_63           0.0000          0.0000          adjusted       
82    GSIP_83_64           0.0000          0.0000          adjusted       
83    GSIP_83_65           0.0000          0.0000          adjusted       
84    GSIP_573_66          0.0000          0.0000          adjusted       
85    GSIP_573_67          0.0000          0.0000          adjusted       
86    GSIP_573_68          0.0000          0.0000          adjusted       
87    GSIP_573_69          0.0000          0.0000          adjusted       
88    GSIP_573_70          0.0000          0.0000          adjusted       
89    GSIP_573_71          0.0000          0.0000          adjusted       
90    GSIP_573_72          0.0000          0.0000          adjusted       
91    GSIP_573_73          0.0000          0.0000          adjusted       
92    GSIP_83_74           0.0000          0.0000          adjusted       
93    GSIP_573_75          0.0000          0.0000          adjusted       
94    GSIP_573_76          0.0000          0.0000          adjusted       
95    GSIP_573_77          0.0000          0.0000          adjusted       
96    GSIP_573_78          0.0000          0.0000          adjusted       
97    GSIP_573_79          0.0000          0.0000          adjusted       
98    GSIP_573_80          0.0000          0.0000          adjusted       
99    gr3.1                0.0000          0.0000          adjusted       
100   Z11                  0.0000          0.0000          adjusted       
101   Z12                  0.0000          0.0000          adjusted       
102   Z13                  0.0000          0.0000          adjusted       
103   GR4                  0.0000          0.0000          adjusted       
104   gr2.1                0.0000          0.0000          adjusted       
105   Z5                   0.0000          0.0000          adjusted       
106   Z10                  0.0000          0.0000          adjusted       
107   Z4                   0.0000          0.0000          adjusted       
108   Z14                  0.0000          0.0000          adjusted       
109   p100                 0.0000          0.0000          adjusted       
110   Z2                   0.0000          0.0000          adjusted       
111   52267                0.0000          0.0000          adjusted       
112   gr8.1                0.0000          0.0000          adjusted       
113   n42                  0.0000          0.0000          adjusted       
114   kyt2                 0.0000          0.0000          adjusted       
115   kyt1                 0.0000          0.0000          adjusted       
116   Y3                   0.0000          0.0000          adjusted       
117   Y2                   0.0000          0.0000          adjusted       
118   GR7                  0.0000          0.0000          adjusted       
119   GR0                  0.0000          0.0000          adjusted       
120   51510                0.0000          0.0000          adjusted       
121   GR6                  0.0000          0.0000          adjusted       
122   67406                0.0000          0.0000          adjusted       
123   67059                0.0000          0.0000          adjusted       
124   p101                 0.0000          0.0000          adjusted       
125   gr5.1                0.0000          0.0000          adjusted       
126   p102                 0.0000          0.0000          adjusted       
127   p103                 0.0000          0.0000          adjusted       
128   p104                 0.0000          0.0000          adjusted       
129   4.2                  0.0000          0.0000          adjusted       
130   4.4                  0.0000          0.0000          adjusted       
131   4.3                  0.0000          0.0000          adjusted       
132   8.2                  0.0000          0.0000          adjusted       
133   8.1                  0.0000          0.0000          adjusted       
134   Z9                   0.0000          0.0000          adjusted       
135   Y4                   0.0000          0.0000          adjusted       
136   Z8                   0.0000          0.0000          adjusted       
137   GR17                 0.0000          0.0000          adjusted       
138   p105                 0.0000          0.0000          adjusted       
139   p106                 0.0000          0.0000          adjusted       
140   GR18                 0.0000          0.0000          adjusted       
141   gr16.1               0.0000          0.0000          adjusted       
142   GR19                 0.0000          0.0000          adjusted       
143   n45                  0.0000          0.0000          adjusted       
144   n41                  0.0000          0.0000          adjusted       
145   n46                  0.0000          0.0000          adjusted       
146   179                  0.0000          0.0000          adjusted       
147   GR15.1               0.0000          0.0000          adjusted       
148   p108                 0.0000          0.0000          adjusted       
149   p107                 0.0000          0.0000          adjusted       
150   K6                   0.0000          0.0000          adjusted       
151   K5                   0.0000          0.0000          adjusted       
152   K4                   0.0000          0.0000          adjusted       
153   p109                 0.0000          0.0000          adjusted       
154   GR13                 0.0000          0.0000          adjusted       
155   p110                 0.0000          0.0000          adjusted       
156   K3                   0.0000          0.0000          adjusted       
157   T1                   0.0000          0.0000          adjusted       
158   M1                   0.0000          0.0000          adjusted       
159   116                  0.0000          0.0000          adjusted       
160   s20                  0.0000          0.0000          adjusted       
161   m1                   0.0000          0.0000          adjusted       
162   m2                   0.0000          0.0000          adjusted       
163   m3                   0.0000          0.0000          adjusted       
164   m4                   0.0000          0.0000          adjusted       
165   17                   0.0000          0.0000          adjusted       
166   18                   0.0000          0.0000          adjusted       
167   19                   0.0000          0.0000          adjusted       
168   20                   0.0000          0.0000          adjusted       
169   s21                  0.0000          0.0000          adjusted       
170   m5                   0.0000          0.0000          adjusted       
171   m6                   0.0000          0.0000          adjusted       
172   m7                   0.0000          0.0000          adjusted       
173   21                   0.0000          0.0000          adjusted       
174   22                   0.0000          0.0000          adjusted       
175   24                   0.0000          0.0000          adjusted       
176   23                   0.0000          0.0000          adjusted       
177   s22                  0.0000          0.0000          adjusted       
178   tp3                  0.0000          0.0000          adjusted       
179   25                   0.0000          0.0000          adjusted       
180   26                   0.0000          0.0000          adjusted       
181   27                   0.0000          0.0000          adjusted       
182   28                   0.0000          0.0000          adjusted       
183   s23                  0.0000          0.0000          adjusted       
184   18.2                 0.0000          0.0000          adjusted       
185   19.2                 0.0000          0.0000          adjusted       
186   29                   0.0000          0.0000          adjusted       
187   30                   0.0000          0.0000          adjusted       
